SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM401862,KIMBERLEY,STMSD,311849,7951981,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.21
PM401863,KIMBERLEY,STMSD,311141,7948868,0,AMG84-52,,0,-9999,-9999,10,0,-10,-10,-9999,-10,-18.54,127.21
PM401864,KIMBERLEY,STMSD,311764,7948874,0,AMG84-52,,3,-9999,-9999,10,0,13,-10,-9999,-10,-18.54,127.21
PM401865,KIMBERLEY,STMSD,312353,7949205,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.22
PM401866,KIMBERLEY,STMSD,312969,7949745,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.22
PM401867,KIMBERLEY,STMSD,314171,7950805,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.24
PM401868,KIMBERLEY,STMSD,314259,7950560,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.24
PM401869,KIMBERLEY,STMSD,314043,7949479,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.23
PM401870,KIMBERLEY,STMSD,314186,7949239,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.24
PM401871,KIMBERLEY,STMSD,314015,7949095,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.23
PM401872,KIMBERLEY,STMSD,313767,7949940,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.23
PM401873,KIMBERLEY,STMSD,313620,7950255,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.23
PM401874,KIMBERLEY,STMSD,314688,7951431,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.24
PM401875,KIMBERLEY,STMSD,315028,7951718,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.24
PM401876,KIMBERLEY,STMSD,314897,7952163,0,AMG84-52,,3,-9999,-9999,10,0,6,-10,-9999,-10,-18.51,127.24
PM401877,KIMBERLEY,STMSD,315310,7952878,0,AMG84-52,,3,-9999,-9999,10,0,13,-10,-9999,-10,-18.5,127.25
PM401878,KIMBERLEY,STMSD,315187,7953158,0,AMG84-52,,1,-9999,-9999,10,0,6,-10,-9999,-10,-18.5,127.25
PM401879,KIMBERLEY,STMSD,314736,7950408,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.24
PM401880,KIMBERLEY,STMSD,315314,7950514,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.25
PM401881,KIMBERLEY,STMSD,315661,7950288,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.25
PM401882,KIMBERLEY,STMSD,315802,7950461,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.25
PM401883,KIMBERLEY,STMSD,315999,7949507,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.25
PM401884,KIMBERLEY,STMSD,316708,7950451,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.26
PM401885,KIMBERLEY,STMSD,316695,7950765,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.26
PM401886,KIMBERLEY,STMSD,316456,7950732,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.26
PM401887,KIMBERLEY,STMSD,317076,7949755,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.53,127.26
PM401888,KIMBERLEY,STMSD,317299,7951121,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.27
PM401889,KIMBERLEY,STMSD,317336,7951375,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.27
PM401890,KIMBERLEY,STMSD,317589,7951254,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.51,127.27
PM401891,KIMBERLEY,STMSD,318324,7950950,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.28
PM401892,KIMBERLEY,STMSD,318153,7950762,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.52,127.27
PM401893,KIMBERLEY,STMSD,309714,7946836,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.19
PM401894,KIMBERLEY,STMSD,309446,7946918,0,AMG84-52,,4,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.19
PM401895,KIMBERLEY,STMSD,310511,7946872,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.2
PM401896,KIMBERLEY,STMSD,311413,7947056,0,AMG84-52,,3,-9999,-9999,10,0,-10,-10,-9999,-10,-18.55,127.21
PM401897,KIMBERLEY,STMSD,311758,7946540,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.56,127.21
PM401898,KIMBERLEY,STMSD,312466,7945962,0,AMG84-52,,2,-9999,-9999,10,0,-10,-10,-9999,-10,-18.56,127.22
PM401899,KIMBERLEY,STMSD,312981,7945430,0,AMG84-52,,1,-9999,-9999,10,0,-10,-10,-9999,-10,-18.57,127.22
